SKU;Producto;Fecha;TipoOperacion;Entrada;Salida;Saldo;Documento;Mes
110421;Polo M/L Marino 175 T/S;2026-06-01;99;0.0;45.0;30.0;00 0000111243;2026-06
110422;Polo M/L Marino 175 T/M;2026-06-01;99;0.0;2.0;1995.0;00 0000000585;2026-06
110422;Polo M/L Marino 175 T/M;2026-06-01;99;0.0;9.0;1986.0;00 0000000586;2026-06
110422;Polo M/L Marino 175 T/M;2026-06-01;99;0.0;58.0;1928.0;00 0000111273;2026-06
110422;Polo M/L Marino 175 T/M;2026-06-01;99;0.0;4.0;1924.0;00 0000508676;2026-06
110422;Polo M/L Marino 175 T/M;2026-06-01;11;0.0;30.0;1894.0;00 0000005182;2026-06
110423;Polo M/L Marino 175 T/L;2026-06-01;99;0.0;3.0;2241.0;00 0000111256;2026-06
110423;Polo M/L Marino 175 T/L;2026-06-01;99;0.0;18.0;2223.0;00 0000111259;2026-06
110423;Polo M/L Marino 175 T/L;2026-06-01;99;0.0;26.0;2197.0;00 0000000585;2026-06
110423;Polo M/L Marino 175 T/L;2026-06-01;99;0.0;53.0;2144.0;00 0000000586;2026-06
110423;Polo M/L Marino 175 T/L;2026-06-01;99;0.0;100.0;2044.0;00 0000111243;2026-06
110423;Polo M/L Marino 175 T/L;2026-06-01;99;0.0;68.0;1976.0;00 0000111273;2026-06
110423;Polo M/L Marino 175 T/L;2026-06-01;99;0.0;4.0;1972.0;00 0000508676;2026-06
110423;Polo M/L Marino 175 T/L;2026-06-01;11;0.0;15.0;1957.0;00 0000005182;2026-06
110424;Polo M/L Marino 175 T/XL;2026-06-01;99;0.0;20.0;1260.0;00 0000111259;2026-06
110424;Polo M/L Marino 175 T/XL;2026-06-01;99;0.0;13.0;1247.0;00 0000000585;2026-06
110424;Polo M/L Marino 175 T/XL;2026-06-01;99;0.0;32.0;1215.0;00 0000000586;2026-06
110424;Polo M/L Marino 175 T/XL;2026-06-01;99;0.0;100.0;1115.0;00 0000111320;2026-06
110424;Polo M/L Marino 175 T/XL;2026-06-01;99;0.0;100.0;1015.0;00 0000111243;2026-06
110424;Polo M/L Marino 175 T/XL;2026-06-01;99;0.0;20.0;995.0;00 0000111273;2026-06
110424;Polo M/L Marino 175 T/XL;2026-06-01;99;0.0;6.0;989.0;00 0000508676;2026-06
110424;Polo M/L Marino 175 T/XL;2026-06-01;11;0.0;35.0;954.0;00 0000005182;2026-06
110425;Polo M/L Marino 175 T/XXL;2026-06-01;99;0.0;10.0;356.0;00 0000111259;2026-06
110425;Polo M/L Marino 175 T/XXL;2026-06-01;99;0.0;3.0;353.0;00 0000000585;2026-06
110425;Polo M/L Marino 175 T/XXL;2026-06-01;99;0.0;3.0;350.0;00 0000000586;2026-06
110425;Polo M/L Marino 175 T/XXL;2026-06-01;99;0.0;7.0;343.0;00 0000111295;2026-06
110425;Polo M/L Marino 175 T/XXL;2026-06-01;99;0.0;100.0;243.0;00 0000111320;2026-06
110425;Polo M/L Marino 175 T/XXL;2026-06-01;99;0.0;10.0;233.0;00 0000111273;2026-06
110427;Polo M/L Marino 175 T/XXXXL;2026-06-01;99;0.0;2.0;118.0;00 0000111259;2026-06
11050504;CHAQUETA BLED HIBRIDA HOMBRE NEGRO T/XL;2026-06-01;99;0.0;1.0;37.0;00 0000111264;2026-06
11050505;CHAQUETA BLED HIBRIDA HOMBRE NEGRO T/XXL;2026-06-01;99;0.0;1.0;46.0;00 0000111264;2026-06
110522;Polo M/L Negro 175 T/M;2026-06-01;99;0.0;2.0;66.0;00 0000111207;2026-06
110522;Polo M/L Negro 175 T/M;2026-06-01;99;0.0;9.0;57.0;00 0000111301;2026-06
110522;Polo M/L Negro 175 T/M;2026-06-01;11;0.0;13.0;44.0;00 0000005182;2026-06
110523;Polo M/L Negro 175 T/L;2026-06-01;99;0.0;13.0;20.0;00 0000111272;2026-06
110525;Polo M/L Negro 175 T/XXL;2026-06-01;99;0.0;4.0;0.0;00 0000000587;2026-06
11061400;CHAQUETA RYSY CORDERITO MUJER GRIS ACERO T/XS;2026-06-01;99;0.0;1.0;26.0;00 0000000572;2026-06
11061401;CHAQUETA RYSY CORDERITO MUJER GRIS ACERO T/S;2026-06-01;99;1.0;0.0;99.0;00 006659;2026-06
11061401;CHAQUETA RYSY CORDERITO MUJER GRIS ACERO T/S;2026-06-01;99;0.0;2.0;97.0;00 0000111297;2026-06
11061401;CHAQUETA RYSY CORDERITO MUJER GRIS ACERO T/S;2026-06-01;99;0.0;1.0;96.0;00 0000111324;2026-06
11061402;CHAQUETA RYSY CORDERITO MUJER GRIS ACERO T/M;2026-06-01;99;0.0;1.0;20.0;00 0000111192;2026-06
11061402;CHAQUETA RYSY CORDERITO MUJER GRIS ACERO T/M;2026-06-01;99;0.0;5.0;15.0;00 0000000572;2026-06
11061402;CHAQUETA RYSY CORDERITO MUJER GRIS ACERO T/M;2026-06-01;99;0.0;1.0;14.0;00 0000111297;2026-06
11061403;CHAQUETA RYSY CORDERITO MUJER GRIS ACERO T/L;2026-06-01;99;0.0;1.0;72.0;00 0000000572;2026-06
110623;Polo M/L Amarillo 175 T/L;2026-06-01;99;0.0;49.0;87.0;00 0000111283;2026-06
110624;Polo M/L Amarillo 175 T/XL;2026-06-01;99;0.0;10.0;154.0;00 0000111283;2026-06
110625;Polo M/L Amarillo 175 T/XXL;2026-06-01;99;0.0;82.0;0.0;00 0000111283;2026-06
110626;Polo M/L Amarillo 175 T/XXXL;2026-06-01;99;0.0;50.0;154.0;00 0000111283;2026-06
11063501;CHAQUETA RYSY CORDERITO MUJER VERDE OLIVA T/S;2026-06-01;99;0.0;3.0;112.0;00 0000000572;2026-06
11063502;CHAQUETA RYSY CORDERITO MUJER VERDE OLIVA T/M;2026-06-01;99;0.0;1.0;34.0;00 0000000572;2026-06
11063503;CHAQUETA RYSY CORDERITO MUJER VERDE OLIVA T/L;2026-06-01;99;0.0;1.0;50.0;00 0000000572;2026-06
11073503;CHAQUETA RYSY CORDERITO HOMBRE VERDE OLIVA T/L;2026-06-01;99;0.0;1.0;53.0;00 0000111266;2026-06
110821;Polo M/L Verde 175 T/S;2026-06-01;99;0.0;2.0;2.0;00 0000111308;2026-06
110822;Polo M/L Verde 175 T/M;2026-06-01;99;0.0;12.0;120.0;00 0000111308;2026-06
110822;Polo M/L Verde 175 T/M;2026-06-01;99;0.0;10.0;110.0;00 0000111282;2026-06
110824;Polo M/L Verde 175 T/XL;2026-06-01;99;0.0;4.0;0.0;00 0000111282;2026-06
110825;Polo M/L Verde 175 T/XXL;2026-06-01;99;0.0;2.0;24.0;00 0000111308;2026-06
110825;Polo M/L Verde 175 T/XXL;2026-06-01;99;0.0;2.0;22.0;00 0000111282;2026-06
110826;Polo M/L Verde 175 T/XXXL;2026-06-01;99;0.0;4.0;145.0;00 0000111282;2026-06
111022;Polo M/L Naranjo 175 T/M;2026-06-01;99;0.0;4.0;481.0;00 0000111303;2026-06
111023;Polo M/L Naranjo 175 T/L;2026-06-01;99;0.0;17.0;281.0;00 0000111303;2026-06
111024;Polo M/L Naranjo 175 T/XL;2026-06-01;99;0.0;4.0;202.0;00 0000111303;2026-06
1114025;Overol Bicolor Azul/Naranjo T/XXL;2026-06-01;21;20.0;0.0;60.0;00 0000011537;2026-06
1114025;Overol Bicolor Azul/Naranjo T/XXL;2026-06-01;99;0.0;13.0;47.0;00 0000111277;2026-06
1140225;Slack Antiacido Canvas Pro Gris T/XXL;2026-06-01;11;0.0;15.0;16.0;00 0000005176;2026-06
1140422;Slack Antiácido Canvas Pro Navy T/M;2026-06-01;11;0.0;15.0;75.0;00 0000005176;2026-06
1140426;Slack Antiácido Canvas Pro Navy T/XXXL;2026-06-01;11;0.0;1.0;28.0;00 0000005176;2026-06
1140823;Slack Antiácido Canvas Pro Verde T/L;2026-06-01;11;0.0;15.0;151.0;00 0000005176;2026-06
1140923;Slack Antiacido Canvas Pro Beige T/L;2026-06-01;99;0.0;5.0;253.0;00 0000000577;2026-06
1140923;Slack Antiacido Canvas Pro Beige T/L;2026-06-01;11;0.0;4.0;249.0;00 0000005176;2026-06
1140925;Slack Antiacido Canvas Pro Beige T/XXL;2026-06-01;99;0.0;10.0;0.0;00 0000000575;2026-06
1150421;Pantalon Cargo Marino T/S;2026-06-01;99;0.0;10.0;53.0;00 0000111291;2026-06
1150423;Pantalon Cargo Marino T/L;2026-06-01;99;0.0;3.0;60.0;00 0000111276;2026-06
1150426;Pantalon Cargo Marino T/XXXL;2026-06-01;99;0.0;1.0;531.0;00 0000508686;2026-06
1150427;Pantalon Cargo Marino T/XXXXL;2026-06-01;99;0.0;1.0;50.0;00 0000000589;2026-06
1150523;Pantalon Cargo Negro T/L;2026-06-01;99;0.0;2.0;82.0;00 0000111276;2026-06
1153423;Pantalón Cargo Gabardina Azul/Am. Flúor T/L;2026-06-01;99;0.0;5.0;155.0;00 0000111230;2026-06
1153424;Pantalón Cargo Gabardina Azul/Am. Flúor T/XL;2026-06-01;99;0.0;5.0;36.0;00 0000111230;2026-06
1170424;Pantalon Cargo Gabardina Forro Polar Azul Marino T/XL;2026-06-01;99;0.0;4.0;5.0;00 0000111226;2026-06
1193221;Geologo Minero Gabardina Amarillo Flúor T/S;2026-06-01;11;0.0;9.0;0.0;00 0000010768;2026-06
1193222;Geologo Minero Gabardina Amarillo Flúor T/M;2026-06-01;99;0.0;3.0;53.0;00 0000111237;2026-06
1193223;Geologo Minero Gabardina Amarillo Flúor T/L;2026-06-01;99;0.0;10.0;60.0;00 0000111237;2026-06
1193224;Geologo Minero Gabardina Amarillo Flúor T/XL;2026-06-01;99;0.0;10.0;56.0;00 0000111237;2026-06
1200322;Geologo Poplin Rojo T/M;2026-06-01;11;0.0;108.0;133.0;00 0000005182;2026-06
1200323;Geologo Poplin Rojo T/L;2026-06-01;11;0.0;171.0;36.0;00 0000005182;2026-06
1200421;Geologo Poplin Marino T/S;2026-06-01;99;0.0;4.0;0.0;00 0000111314;2026-06
1200422;Geologo Poplin Marino T/M;2026-06-01;21;50.0;0.0;295.0;00 0000011539;2026-06
1200422;Geologo Poplin Marino T/M;2026-06-01;99;0.0;6.0;289.0;00 0000111314;2026-06
1200422;Geologo Poplin Marino T/M;2026-06-01;99;0.0;1.0;288.0;00 0000111318;2026-06
1200422;Geologo Poplin Marino T/M;2026-06-01;99;0.0;2.0;286.0;00 0000111318;2026-06
1200422;Geologo Poplin Marino T/M;2026-06-01;11;0.0;100.0;186.0;00 0000005182;2026-06
1200423;Geologo Poplin Marino T/L;2026-06-01;99;0.0;8.0;248.0;00 0000111314;2026-06
1200423;Geologo Poplin Marino T/L;2026-06-01;99;0.0;2.0;246.0;00 0000111318;2026-06
1200423;Geologo Poplin Marino T/L;2026-06-01;11;0.0;100.0;146.0;00 0000005182;2026-06
1200424;Geologo Poplin Marino T/XL;2026-06-01;99;0.0;6.0;18.0;00 0000111314;2026-06
1200425;Geologo Poplin Marino T/XXL;2026-06-01;99;0.0;2.0;227.0;00 0000111314;2026-06
1200523;Geologo Poplin Negro T/L;2026-06-01;99;0.0;3.0;74.0;00 0000111238;2026-06
1201021;Geologo Poplin Naranjo T/S;2026-06-01;99;0.0;25.0;302.0;00 0000000551;2026-06
1201021;Geologo Poplin Naranjo T/S;2026-06-01;99;0.0;25.0;277.0;00 0000000559;2026-06
1201021;Geologo Poplin Naranjo T/S;2026-06-01;99;0.0;5.0;272.0;00 0000111245;2026-06
1201021;Geologo Poplin Naranjo T/S;2026-06-01;99;0.0;12.0;260.0;00 0000000570;2026-06
1201022;Geologo Poplin Naranjo T/M;2026-06-01;99;0.0;75.0;200.0;00 0000000551;2026-06
1201022;Geologo Poplin Naranjo T/M;2026-06-01;99;0.0;25.0;175.0;00 0000000559;2026-06
1201022;Geologo Poplin Naranjo T/M;2026-06-01;11;0.0;100.0;75.0;00 0000005182;2026-06
1201023;Geologo Poplin Naranjo T/L;2026-06-01;11;0.0;10.0;1.0;00 0000005182;2026-06
1201025;Geologo Poplin Naranjo T/XXL;2026-06-01;99;0.0;10.0;196.0;00 0000111245;2026-06
1210321;Geologo Gabardina Rojo T/S;2026-06-01;99;0.0;1.0;104.0;00 0000111256;2026-06
1210321;Geologo Gabardina Rojo T/S;2026-06-01;99;0.0;25.0;79.0;00 0000000593;2026-06
1210323;Geologo Gabardina Rojo T/L;2026-06-01;99;0.0;25.0;289.0;00 0000000593;2026-06
1210324;Geologo Gabardina Rojo T/XL;2026-06-01;99;0.0;25.0;79.0;00 0000000593;2026-06
1210326;Geologo Gabardina Rojo T/XXXL;2026-06-01;99;0.0;25.0;7.0;00 0000000593;2026-06
1210421;Geologo Gabardina Marino T/S;2026-06-01;99;0.0;2.0;79.0;00 0000508712;2026-06
1210422;Geologo Gabardina Marino T/M;2026-06-01;99;0.0;2.0;447.0;00 0000000560;2026-06
1210422;Geologo Gabardina Marino T/M;2026-06-01;99;0.0;13.0;434.0;00 0000508712;2026-06
1210422;Geologo Gabardina Marino T/M;2026-06-01;11;0.0;165.0;269.0;00 0000005182;2026-06
1210423;Geologo Gabardina Marino T/L;2026-06-01;99;0.0;2.0;348.0;00 0000000560;2026-06
1210423;Geologo Gabardina Marino T/L;2026-06-01;99;0.0;7.0;341.0;00 0000508712;2026-06
1210423;Geologo Gabardina Marino T/L;2026-06-01;11;0.0;155.0;186.0;00 0000005182;2026-06
1210424;Geologo Gabardina Marino T/XL;2026-06-01;21;100.0;0.0;116.0;00 0000011540;2026-06
1210424;Geologo Gabardina Marino T/XL;2026-06-01;99;0.0;2.0;114.0;00 0000508712;2026-06
1210424;Geologo Gabardina Marino T/XL;2026-06-01;11;0.0;12.0;102.0;00 0000005182;2026-06
1210425;Geologo Gabardina Marino T/XXL;2026-06-01;99;0.0;1.0;58.0;00 0000508712;2026-06
1210426;Geologo Gabardina Marino T/XXXL;2026-06-01;99;0.0;1.0;30.0;00 0000508712;2026-06
1211021;Geologo Gabardina Naranjo T/S;2026-06-01;21;100.0;0.0;108.0;00 0000011540;2026-06
1211022;Geologo Gabardina Naranjo T/M;2026-06-01;99;0.0;15.0;340.0;00 0000000582;2026-06
1211023;Geologo Gabardina Naranjo T/L;2026-06-01;99;0.0;12.0;30.0;00 0000111207;2026-06
1211023;Geologo Gabardina Naranjo T/L;2026-06-01;99;0.0;15.0;15.0;00 0000000575;2026-06
1211023;Geologo Gabardina Naranjo T/L;2026-06-01;11;0.0;5.0;10.0;00 0000005182;2026-06
1211024;Geologo Gabardina Naranjo T/XL;2026-06-01;99;0.0;25.0;514.0;00 0000000544;2026-06
1211024;Geologo Gabardina Naranjo T/XL;2026-06-01;11;0.0;150.0;364.0;00 0000005178;2026-06
1211025;Geologo Gabardina Naranjo T/XXL;2026-06-01;99;0.0;15.0;221.0;00 0000000575;2026-06
1211026;Geologo Gabardina Naranjo T/XXXL;2026-06-01;21;25.0;0.0;41.0;00 0000011540;2026-06
1223321;CHALECO GEOLOGO GUARDIA DECRETO D867 ROJO ALTAVISIBILIDAD;2026-06-01;99;0.0;1.0;70.0;00 0000508676;2026-06
1223322;CHALECO GEOLOGO GUARDIA DECRETO D867 ROJO ALTAVISIBILIDAD;2026-06-01;99;0.0;1.0;71.0;00 0000000548;2026-06
1223322;CHALECO GEOLOGO GUARDIA DECRETO D867 ROJO ALTAVISIBILIDAD;2026-06-01;99;0.0;1.0;70.0;00 0000508676;2026-06
1223324;CHALECO GEOLOGO GUARDIA DECRETO D867 ROJO ALTA VISIBILIDAD;2026-06-01;99;0.0;1.0;60.0;00 0000508676;2026-06
1263223;GEOLOGO CRUCES 360° ANTIACIDO CANVAS UNISEX COLOR;2026-06-01;99;0.0;10.0;140.0;00 0000000545;2026-06
1300222;Overol C/R Poplin Gris T/M;2026-06-01;99;0.0;1.0;45.0;00 0000111189;2026-06
1300422;Overol C/R Poplin Marino T/M;2026-06-01;99;0.0;23.0;139.0;00 0000000554;2026-06
1300423;Overol C/R Poplin Marino T/L;2026-06-01;99;0.0;4.0;493.0;00 0000508702;2026-06
1300424;Overol C/R Poplin Marino T/XL;2026-06-01;99;0.0;4.0;90.0;00 0000508702;2026-06
1300425;Overol C/R Poplin Marino T/XXL;2026-06-01;99;0.0;50.0;483.0;00 0000000554;2026-06
1300425;Overol C/R Poplin Marino T/XXL;2026-06-01;99;0.0;4.0;479.0;00 0000508702;2026-06
1300525;Overol C/R Poplin Negro T/XXL;2026-06-01;99;0.0;5.0;11.0;00 0000111238;2026-06
1300726;Overol C/R Poplin Royal T/XXXL;2026-06-01;99;0.0;4.0;38.0;00 0000508702;2026-06
1300825;Overol C/R Poplin Verde T/XXL;2026-06-01;21;80.0;0.0;150.0;00 0000011530;2026-06
13010402;MICROPOLAR LEMÁN C/APLICACIÓN MUJER AZUL MARINO T/M;2026-06-01;99;0.0;1.0;25.0;00 0000000574;2026-06
13010403;MICROPOLAR LEMÁN C/APLICACIÓN MUJER AZUL MARINO T/L;2026-06-01;99;0.0;1.0;21.0;00 0000000574;2026-06
13010404;MICROPOLAR LEMÁN C/APLICACIÓN MUJER AZUL MARINO T/XL;2026-06-01;99;0.0;2.0;74.0;00 0000000574;2026-06
13020401;MICROPOLAR LEMÁN C/APLICACIÓN HOMBRE AZUL MARINO T/S;2026-06-01;99;0.0;2.0;14.0;00 0000000574;2026-06
13020402;MICROPOLAR LEMÁN C/APLICACIÓN HOMBRE AZUL MARINO T/M;2026-06-01;99;0.0;2.0;72.0;00 0000000574;2026-06
13020403;MICROPOLAR LEMÁN C/APLICACIÓN HOMBRE AZUL MARINO T/L;2026-06-01;99;0.0;2.0;58.0;00 0000000574;2026-06
13030402;MICROPOLAR BOLSENA RESPIRABLE MUJER AZUL MARINO T/M;2026-06-01;99;0.0;1.0;90.0;00 0000111253;2026-06
13030503;MICROPOLAR BOLSENA RESPIRABLE MUJER NEGRO T/L;2026-06-01;99;0.0;1.0;50.0;00 0000111196;2026-06
13040503;MICROPOLAR BOLSENA RESPIRABLE HOMBRE NEGRO T/L;2026-06-01;99;0.0;1.0;87.0;00 0000002941;2026-06
13040504;MICROPOLAR BOLSENA RESPIRABLE HOMBRE NEGRO T/XL;2026-06-01;99;0.0;1.0;84.0;00 0003501937;2026-06
13040505;MICROPOLAR BOLSENA RESPIRABLE HOMBRE NEGRO T/XXL;2026-06-01;99;0.0;1.0;38.0;00 0003501943;2026-06
